

﻿央视频道,#genre#
https://epg.112114.xyz
http://124.223..212.38:83/


CCTV1,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240127_1/playlist.m3u8?CONTENTID=00000110240127_1
CCTV2 ,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240244_1/playlist.m3u8?CONTENTID=00000110240244_1
CCTV3 ,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240245_1/playlist.m3u8?CONTENTID=00000110240245_1
CCTV4,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240316_1/playlist.m3u8?CONTENTID=00000110240316_1
CCTV5 ,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240246_1/playlist.m3u8?CONTENTID=00000110240246_1
CCTV5+,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240128_1/playlist.m3u8?CONTENTID=00000110240128_1
CCTV6,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240247_1/playlist.m3u8?CONTENTID=00000110240247_1
CCTV7,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240248_1/playlist.m3u8?CONTENTID=00000110240248_1
CCTV8,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240249_1/playlist.m3u8?CONTENTID=00000110240249_1
CCTV9,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240250_1/playlist.m3u8?CONTENTID=00000110240250_1
CCTV9,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240478_1/playlist.m3u8?CONTENTID=00000110240478_1
CCTV10,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240251_1/playlist.m3u8?CONTENTID=00000110240251_1
CCTV11,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240328_1/playlist.m3u8?CONTENTID=00000110240328_1
CCTV12,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240252_1/playlist.m3u8?CONTENTID=00000110240252_1
CCTV13,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240502_1/playlist.m3u8?CONTENTID=00000110240502_1
CCTV14,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240253_1/playlist.m3u8?CONTENTID=00000110240253_1
CCTV15,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240329_1/playlist.m3u8?CONTENTID=00000110240329_1
CCTV16,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240389_1/playlist.m3u8?CONTENTID=00000110240389_1
CCTV17,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240326_1/playlist.m3u8?CONTENTID=00000110240326_1
CGTN英语,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240365_1/playlist.m3u8?CONTENTID=00000110240365_1
CGTN西班牙,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240367_1/playlist.m3u8?CONTENTID=00000110240367_1
CGTN法语,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240368_1/playlist.m3u8
CGTN俄语,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240370_1/playlist.m3u8?CONTENTID=00000110240370_1
CHC动作电影,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
CHC家庭影院,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240323_1/playlist.m3u8?CONTENTID=00000110240323_1
CHC高清电影,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240325_1/playlist.m3u8?CONTENTID=00000110240325_1
IPTV5+,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240281_1/playlist.m3u8?CONTENTID=00000110240281_1
中国教育1,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240302_1/playlist.m3u8?CONTENTID=00000110240302_1

CCTV1,https://live.goodiptv.club/api/cqyx.php?id=cctv1HD$重庆有线
CCTV2,https://live.goodiptv.club/api/cqyx.php?id=cctv2HD$重庆有线
CCTV3,https://live.goodiptv.club/api/cqyx.php?id=cctv3HD$重庆有线
CCTV4,https://live.goodiptv.club/api/cqyx.php?id=cctv4HD$重庆有线
CCTV5,https://live.goodiptv.club/api/cqyx.php?id=cctv5HD$重庆有线
CCTV5+,https://live.goodiptv.club/api/cqyx.php?id=cctv5SportHD$重庆有线
CCTV6,https://live.goodiptv.club/api/cqyx.php?id=cctv6HD$重庆有线
CCTV7,https://live.goodiptv.club/api/cqyx.php?id=cctv7HD$重庆有线
CCTV8,https://live.goodiptv.club/api/cqyx.php?id=cctv8HD$重庆有线
CCTV9,https://live.goodiptv.club/api/cqyx.php?id=cctv9HD$重庆有线
CCTV10,https://live.goodiptv.club/api/cqyx.php?id=cctv10HD$重庆有线
CCTV11,https://live.goodiptv.club/api/cqyx.php?id=cctv11HD$重庆有线
CCTV12,https://live.goodiptv.club/api/cqyx.php?id=cctv12HD$重庆有线
CCTV13,https://live.goodiptv.club/api/cqyx.php?id=cctv13HD$重庆有线
CCTV14,https://live.goodiptv.club/api/cqyx.php?id=cctv14HD$重庆有线
CCTV15,https://live.goodiptv.club/api/cqyx.php?id=cctv15HD$重庆有线
CCTV16,https://live.goodiptv.club/api/cqyx.php?id=cctv16HD$重庆有线
CCTV17,https://live.goodiptv.club/api/cqyx.php?id=cctv17HD$重庆有线

CCTV1,http://cntv.sbs/live?id=cctv1
CCTV2,http://cntv.sbs/live?id=cctv2
CCTV3,http://cntv.sbs/live?id=cctv3
CCTV4,http://cntv.sbs/live?id=cctv4
CCTV5,http://cntv.sbs/live?id=cctv5
CCTV5+,http://cntv.sbs/live?id=cctv5p
CCTV6,http://cntv.sbs/live?id=cctv6
CCTV7,http://cntv.sbs/live?id=cctv7
CCTV8,http://cntv.sbs/live?id=cctv8
CCTV9,http://cntv.sbs/live?id=cctv9
CCTV10,http://cntv.sbs/live?id=cctv10
CCTV11,http://cntv.sbs/live?id=cctv11
CCTV12,http://cntv.sbs/live?id=cctv12
CCTV13,http://cntv.sbs/live?id=cctv13
CCTV14,http://cntv.sbs/live?id=cctv14
CCTV15,http://cntv.sbs/live?id=cctv15
CCTV16,http://cntv.sbs/live?id=cctv16
CCTV17,http://cntv.sbs/live?id=cctv17


CTV1,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1402_4500$谷豆
CCTV2,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=CCTV2HD_7000$谷豆
CCTV3,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1603$谷豆
CCTV4,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1604$谷豆
CCTV5,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1605$谷豆
CCTV5+,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1403$谷豆
CCTV6,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1606$谷豆
CCTV7,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1607$谷豆
CCTV8,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1608$谷豆
CCTV9,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=CCTV9HD_7000$谷豆
CCTV10,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1610$谷豆
CCTV11,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=CCTV-11HD_7500$谷豆
CCTV12,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=CCTV12HD_7000$谷豆
CCTV13,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1613$谷豆
CCTV14,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=CCTV14HD_7000$谷豆
CCTV15,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=CCTV-15HD_7500$谷豆
CCTV16,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=1617_4500$谷豆
CCTV17,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=CCTV17HD$谷豆
CCTV4K,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=4005$谷豆
CCTV16-4K,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18581519202&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=364&id=4010$谷豆

CCTV13,http://223.95.111.98:5555/newlive/live/hls/13/live.m3u8


CCTV1,http://live.cooltv.top/tv/aishang.php?id=cctv1hd$爱尚源1
CCTV2,http://live.cooltv.top/tv/aishang.php?id=cctv2hd$爱尚源1
CCTV3,http://live.cooltv.top/tv/aishang.php?id=cctv3hd$爱尚源1
CCTV4,http://live.cooltv.top/tv/aishang.php?id=cctv4hd$爱尚源1
CCTV5,http://live.cooltv.top/tv/aishang.php?id=cctv5hd$爱尚源1
CCTV6,http://live.cooltv.top/tv/aishang.php?id=cctv6hd$爱尚源1
CCTV7,http://live.cooltv.top/tv/aishang.php?id=cctv7hd$爱尚源1
CCTV8,http://live.cooltv.top/tv/aishang.php?id=cctv8hd$爱尚源1
CCTV9,http://live.cooltv.top/tv/aishang.php?id=cctv9hd$爱尚源1
CCTV10,http://live.cooltv.top/tv/aishang.php?id=cctv10hd$爱尚源1
CCTV11,http://live.cooltv.top/tv/aishang.php?id=cctv11hd$爱尚源1
CCTV12,http://live.cooltv.top/tv/aishang.php?id=cctv12hd$爱尚源1
CCTV13,http://live.cooltv.top/tv/aishang.php?id=cctv13hd$爱尚源1
CCTV14,http://live.cooltv.top/tv/aishang.php?id=cctv14hd$爱尚源1
CCTV15,http://live.cooltv.top/tv/aishang.php?id=cctv15hd$爱尚源1
CCTV16,http://live.cooltv.top/tv/aishang.php?id=cctv16hd$爱尚源1
CCTV17,http://live.cooltv.top/tv/aishang.php?id=cctv17hd$爱尚源1


CCTV1,http://113.62.253.22/live.aishang.ctlcdn.com/00000110240127_1/playlist.m3u8?CONTENTID=00000110240127_1&AUTHINFO=FABqh274XDn8fkurD5614t%2B1RvYajgx%2Ba3PxUJe1SMO4OjrtFitM6ZQbSJEFffaD35hOAhZdTXOrK0W8QvBRom%2BXaXZYzB%2FQfYjeYzGgKhP%2Fdo%2BXpr4quVxlkA%2BubKvbU1XwJFRgrbX%2BnTs60JauQUrav8kLj%2FPH8LxkDFpzvkq75UfeY%2FVNDZygRZLw4j%2BXtwhj%2FIuXf1hJAU0X%2BheT7g%3D%3D&USERTOKEN=eHKuwve%2F35NVIR5qsO5XsuB0O2BhR0KR$爱尚源
